income_expenditure_difference,income,working_agency,total_expenses,type_of_residence,bank_product,total_income,loan_term,salary_allowance,number_of_products_in_use,casa_balance,customer_segment,marital_status,number_of_dependents,age,term_deposit_balance,educational_level,insurance,position,number_of_non_credit_products,housing,debt_repayment_source,work_tenure,bank_debt_balance,number_of_banks_with_outstanding_debt,loan_amount,expected_loan_interest,labor_contract,duration_of_relationship_with_the_bank,proposed_term,economic_sector,debt_group_information,overdue_history,result,event_timestamp,id
8615330.0,14615330.0,cq hanh chi su nghiep,6000000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,14615330.0,36.0,12615330.0,0,0.0,khach hang cap 1,doc than,0,56,0.0,dai hoc,nhieu hon 1 loai bao hiem,lanh dao phong,4,so huu toan bo,luong va nguon khac,396.0,100000000.0,0,100000000.0,0.0,hop dong khong xac dinh thoi han,2,36.0,y te,khong co du no,khong co quan he tin dung,BBB,2024-04-19 18:29:54.409172+00:00,0
81762782.0,94962782.0,cq hanh chi su nghiep,13200000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,94962782.0,12.0,13962782.0,1,114979.0,khach hang cap 1,da ket hon,0,53,0.0,dai hoc,khong co thong tin,lanh dao phong,5,so huu toan bo,luong va nguon khac,355.0,120000000.0,1,120000000.0,1200000.0,hop dong khong xac dinh thoi han,5,12.0,van phong,chi co no nhom 1,da co quan he nhung chua tung qua han,BBB,2024-04-19 18:29:54.409172+00:00,1
181350000.0,205000000.0,doanh nghiep tu nhan,23650000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,205000000.0,0.0,135000000.0,0,110000.0,khach hang cap 1,doc than,0,31,0.0,dai hoc,bao hien nhan tho,chuyen vien,5,so huu toan bo,luong va nguon khac,40.0,100000000.0,3,100000000.0,4400000.0,hop dong khong xac dinh thoi han,0,0.0,nganh khac,chi co no nhom 1,da co quan he nhung chua tung qua han,A-,2024-04-19 18:29:54.409172+00:00,2
28800000.0,35800000.0,cq hanh chi su nghiep,7000000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,35800000.0,60.0,15800000.0,1,96301.0,khach hang cap 1,doc than,2,43,0.0,dai hoc,nhieu hon 1 loai bao hiem,chuyen vien,7,so huu toan bo,luong va loi nhuan tu kinh doanh,240.0,300000000.0,0,300000000.0,0.0,"cong chuc, vien chuc",3,60.0,giao dich,chi co no nhom 1,da co quan he nhung chua tung qua han,A+,2024-04-19 18:29:54.409172+00:00,3
13500000.0,30000000.0,cq hanh chi su nghiep,16500000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,30000000.0,12.0,20000000.0,0,100182472.0,khach hang cap 1,da ket hon,1,43,0.0,dai hoc,bao hien nhan tho,chuyen vien,4,so huu toan bo,luong,219.0,150000000.0,1,150000000.0,1500000.0,hop dong khong xac dinh thoi han,5,12.0,van phong,chi co no nhom 1,da co quan he nhung chua tung qua han,AA-,2024-04-19 18:29:54.409172+00:00,4
20217740.0,30367740.0,cq hanh chi su nghiep,10150000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,30367740.0,0.0,16572724.0,0,10724447.0,khach hang cap 1,da ket hon,0,42,0.0,dai hoc,nhieu hon 1 loai bao hiem,lanh dao phong,5,so huu toan bo,luong va nguon khac,180.0,50000000.0,0,50000000.0,5150000.0,"cong chuc, vien chuc",0,0.0,nganh khac,chi co no nhom 1,da co quan he nhung chua tung qua han,AA-,2024-04-19 18:29:54.409172+00:00,5
261192.0,7451192.0,cq hanh chi su nghiep,7190000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,7451192.0,48.0,7451192.0,0,10000000.0,khach hang cap 1,doc than,0,27,0.0,dai hoc,nhieu hon 1 loai bao hiem,chuyen vien,5,so huu toan bo,luong,72.0,100000000.0,1,100000000.0,3190000.0,"cong chuc, vien chuc",0,48.0,van phong,chi co no nhom 1,da co quan he nhung chua tung qua han,BB,2024-04-19 18:29:54.409172+00:00,6
26262013.33,34762013.33,cq hanh chi su nghiep,8500000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,34762013.33,12.0,14762013.33,0,39239964.0,khach hang cap 1,doc than,1,40,0.0,dai hoc,nhieu hon 1 loai bao hiem,chuyen vien,5,so huu toan bo,luong va nguon khac,144.0,150000000.0,1,150000000.0,3500000.0,"cong chuc, vien chuc",1,12.0,van phong,chi co no nhom 1,da co quan he nhung chua tung qua han,AA-,2024-04-19 18:29:54.409172+00:00,7
6448235.33,9448235.33,cq hanh chi su nghiep,3000000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,9448235.33,12.0,9448235.33,1,5479529.0,khach hang cap 1,doc than,0,25,0.0,dai hoc,khong co thong tin,chuyen vien,6,so huu toan bo,luong va loi nhuan tu kinh doanh,60.0,50000000.0,0,50000000.0,0.0,hop dong khong xac dinh thoi han,0,12.0,van phong,khong co du no,da co quan he nhung chua tung qua han,AA-,2024-04-19 18:29:54.409172+00:00,8
5400000.0,8400000.0,cq hanh chi su nghiep,3000000.0,tam tru dai han,co tien gui thanh toan hoac sp khac,8400000.0,12.0,8400000.0,0,39992.0,khach hang cap 1,doc than,0,33,0.0,dai hoc,bao hien nhan tho,chuyen vien,3,so huu toan bo,luong,96.0,70000000.0,1,70000000.0,0.0,"cong chuc, vien chuc",0,12.0,giao dich,chi co no nhom 1,da co quan he nhung chua tung qua han,A-,2024-04-19 18:29:54.409172+00:00,9
7942480.0,10942480.0,cq hanh chi su nghiep,3000000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,10942480.0,48.0,10942480.0,0,5741445.0,khach hang cap 1,da ket hon,0,43,0.0,dai hoc,bao hien nhan tho,nhan vien,4,so huu toan bo,hon hop,252.0,150000000.0,0,150000000.0,0.0,"cong chuc, vien chuc",0,48.0,giao dich,khong co du no,khong co quan he tin dung,AA+,2024-04-19 18:29:54.409172+00:00,10
2183454.0,7183454.0,cq hanh chi su nghiep,5000000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,7183454.0,0.0,7183454.0,0,324179.0,khach hang cap 1,doc than,1,28,0.0,dai hoc,bao hiem khac,nhan vien,5,o cung nguoi than khac,luong,49.0,20000000.0,0,20000000.0,0.0,hop dong khong xac dinh thoi han,0,0.0,van phong,khong co du no,khong co quan he tin dung,A+,2024-04-19 18:29:54.409172+00:00,11
29850000.0,50000000.0,doanh nghiep tu nhan,20150000.0,tam tru dai han,co tien gui thanh toan hoac sp khac,50000000.0,0.0,50000000.0,0,0.0,khach hang cap 1,da ket hon,0,32,0.0,dai hoc,nhieu hon 1 loai bao hiem,chuyen vien,3,so huu toan bo,luong,44.0,40000000.0,2,40000000.0,0.0,hop dong khong xac dinh thoi han,0,0.0,van phong,chi co no nhom 1,da co quan he nhung chua tung qua han,BB,2024-04-19 18:29:54.409172+00:00,12
7128350.0,17128350.0,cq hanh chi su nghiep,10000000.0,ho khau thuong tru,da tung co tien gui thanh toan hoac sp khac 12 thang lien ke,17128350.0,36.0,5128350.0,0,134159.0,khach hang cap 1,doc than,0,37,0.0,dai hoc,khong mua bao hiem,chuyen vien,3,so huu 1 phan,luong,124.0,60000000.0,0,60000000.0,0.0,"cong chuc, vien chuc",0,36.0,van phong,khong co du no,khong co quan he tin dung,A+,2024-04-19 18:29:54.409172+00:00,13
1795000.0,8225000.0,cq hanh chi su nghiep,6430000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,8225000.0,84.0,8225000.0,1,333843.0,khach hang cap 1,doc than,0,35,0.0,dai hoc,nhieu hon 1 loai bao hiem,chuyen vien,6,o cung nguoi than khac,luong,122.0,120000000.0,0,120000000.0,2430000.0,"cong chuc, vien chuc",7,84.0,y te,khong co du no,da co quan he nhung chua tung qua han,AA-,2024-04-19 18:29:54.409172+00:00,14
20000000.0,27000000.0,cq hanh chi su nghiep,7000000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,27000000.0,12.0,10000000.0,0,160285.0,khach hang cap 1,da ket hon,1,32,0.0,dai hoc,nhieu hon 1 loai bao hiem,lanh dao phong,5,so huu toan bo,luong va nguon khac,130.0,60000000.0,0,60000000.0,0.0,"cong chuc, vien chuc",4,12.0,giao dich,khong co du no,khong co quan he tin dung,AA+,2024-04-19 18:29:54.409172+00:00,15
-2576000.0,10500000.0,cq hanh chi su nghiep,13076000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,10500000.0,60.0,10500000.0,0,14188.0,khach hang cap 1,da ket hon,1,34,0.0,tren dai hoc,khong co thong tin,chuyen vien,2,so huu toan bo,luong,108.0,100000000.0,1,100000000.0,2576000.0,hop dong khong xac dinh thoi han,6,60.0,van phong,chi co no nhom 1,da co quan he nhung chua tung qua han,BB,2024-04-19 18:29:54.409172+00:00,16
7277764.0,7277764.0,cq hanh chi su nghiep,0.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,7277764.0,12.0,7277764.0,0,50654.0,khach hang cap 1,doc than,0,33,0.0,dai hoc,bao hiem khac,chuyen vien,0,so huu toan bo,luong va nguon khac,60.0,50000000.0,0,50000000.0,0.0,hop dong khong xac dinh thoi han,0,12.0,van phong,khong co du no,khong co quan he tin dung,AA-,2024-04-19 18:29:54.409172+00:00,17
6000000.0,10000000.0,cq hanh chi su nghiep,4000000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,10000000.0,12.0,10000000.0,0,964146.0,khach hang cap 1,da ket hon,0,43,0.0,dai hoc,khong co thong tin,chuyen vien,5,so huu toan bo,luong va nguon khac,240.0,60000000.0,0,60000000.0,0.0,hop dong khong xac dinh thoi han,0,12.0,van phong,khong co du no,khong co quan he tin dung,AA-,2024-04-19 18:29:54.409172+00:00,18
23582758.0,28582758.0,cq hanh chi su nghiep,5000000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,28582758.0,60.0,8582758.0,0,130288.0,khach hang cap 2,da ket hon,0,30,0.0,dai hoc,bao hien nhan tho,chuyen vien,5,so huu 1 phan,hon hop,98.0,150000000.0,0,150000000.0,0.0,hop dong khong xac dinh thoi han,0,60.0,giao dich,khong co du no,khong co quan he tin dung,AA-,2024-04-19 18:29:54.409172+00:00,19
